123.78,131.08,189.28,167.11,137.57,175.88,113.03,105,129.27,199.65,185.52,197.15,144.76,147.35,194.99,141.38,158.49,147.84,197.5,122.96,115.77,161.75,167.65,133.11,173.86,96.367,150.36,81.959,175.6,173.41,168.64,125.76,156.6,92.184,141.85,30.448,181.39,192.17,191.65,196.76,186.94,189.14,145,151.78,82.378,147.37,174.79,162.88,135.75,173.04,142.7,176.17,183.13,153.71,126.02,142.27,170.31,190.59,181.33,165.81,141.23,184.66,167.36,143.74,189.07,196.22,155.89,142.55,175.46,167.09,175.48,192.36,151.39,147.71,99.128
168.02,138.83,189.48,161.42,197.46,165.95,151.27,85.928,142.02,93.495,185.25,195.82,118.35,198.36,198.92,155.89,179.6,180.18,175.91,182,109.81,193.03,125.95,199.8,169.82,140.51,144.03,159.5,188.25,135.01,128.45,167,73.061,153.92,32.537,190.25,155.36,195.92,157.88,190.96,180.21,174.2,163.11,150.56,91.445,160.6,183.42,171.23,165.45,177.33,185.61,196.78,193.62,62.29,193.87,134.1,144.03,157.42,194.71,184.82,183.79,180.59,177.77,154.96,183.63,128.72,157.79,148.46,167.87,153.02,99.843,160.68,185.16,135.35,158.73
193.36,159.47,178.03,180.94,194.31,158.47,167.87,177.45,102.41,145.55,164.58,116.27,196.41,162.77,156.44,184.67,167.14,199.76,104.71,180.17,155.34,158.93,185.14,174.73,195.33,161.73,178.32,172.88,195.37,167.41,149.53,180.78,170.16,127.97,189.11,100.61,195.71,162.86,199.27,183.29,146.16,152.8,194.52,168.58,144.04,120.58,195.39,183.39,178.49,173.33,147.88,157.66,176.4,171.09,131.57,194.15,177.87,183.81,195.11,184.91,180.71,174.04,141.9,81,189.66,182.62,197.34,195.64,199.5,126.24,123.79,199.74,179.17,183.43,148.51
196.11,131.15,199.24,192.52,189.1,181.27,173.57,172.7,123.65,144.49,177.41,191.61,125.84,179.55,166.58,181.07,178.54,132.37,197.38,191.98,124.08,140.81,105.48,192.59,114.81,176.59,198.08,132.25,181.23,153.58,182.99,185.98,157.58,156.4,135.57,157.59,179.25,197.19,150.26,193.43,180.85,147.43,158.76,175.18,195.72,177.82,144.71,158.99,137.82,184.63,185.04,191.13,181.22,150.7,146.93,138.4,159.49,155.76,94.049,176.97,187.38,168.72,136.37,150.65,140.97,175.71,193.84,180.39,175.21,138.62,187.52,184.44,184.28,184.69,196.66
185.59,84.505,187.73,63.796,187.92,182.52,132.28,179.33,195.41,179.98,194.85,149.02,181.01,178.19,150.21,147.05,170.36,119.05,136.91,188.48,110.06,128.01,195.55,172.65,168.92,189.9,178.21,136.82,193.59,175.73,195.64,124.82,195.1,136.07,157.16,184.15,181.68,153.04,183.64,180.55,178.73,187.07,130.19,177.69,168.94,168.22,180.82,191.38,189.57,196.83,172.69,136.03,176.03,122.4,178.33,172.66,167.13,141.57,180.79,189.9,177.37,158.69,153.28,180.14,189.62,197.53,155.36,184.54,185.44,169.23,154.43,194.41,175.14,179.53,112.52
134.99,80.355,160.22,188.2,191.49,187.9,141.43,141.66,168.23,132.11,159.68,165.18,198.8,166.42,196.24,182.64,140.71,174.46,199.6,188.48,185.84,190.54,160.89,144,135.83,181.55,179.14,199.38,158.8,176.82,165.39,145.76,149.87,170.55,165.45,174.48,186.32,150.76,163.54,95.279,168.84,195.14,145.61,191.24,188.14,190.25,152.01,159.79,169.62,188.34,154.72,116.01,190.34,160.81,114.36,153.57,167.17,153.49,186.97,190.27,166.16,102.54,139.78,159.84,189.66,188.09,115.19,169.84,196.12,150.39,99.726,171.92,183.93,155.56,154.75
78.91,146.15,168.09,93.288,152.34,163.65,105.07,120.62,159.64,169.06,192.55,177.11,141.85,184.81,156.05,154.55,72.018,187.41,164.59,133.9,92.367,176.5,164.22,184.72,163.51,199.65,172.71,149.52,189.2,174.75,143.36,177.13,139.64,187.11,167.53,197,102.77,155.32,181.44,187.72,195.61,164.43,132.01,154.31,182.08,189.09,177.61,159.98,173.88,183.16,124.54,183.96,132.19,192.26,156.54,169.18,127.11,146.78,167.78,102.88,187.4,116.19,149.25,197.56,144.48,185.28,198.84,125.94,194.81,170.71,182.75,141.46,108.5,159.82,191.52
126.2,132.4,124.36,193.4,181.16,69.707,173.43,198.18,152.46,133.79,169.49,175.31,191.07,43.997,153.81,173.41,185.82,164.54,168,158,135.15,184.41,198.3,159.43,175.03,186.67,190.33,161.77,174.01,171.92,156.67,178.93,108.47,157.46,180.91,179.81,188.67,174.66,193.72,145.92,145.48,174.56,141.51,144.07,178.31,111.83,157.73,186.39,157.61,195.96,172.01,175.3,136.46,189.27,165.12,187.87,175.02,198.8,178.42,104.88,156.99,126.6,134.31,186.95,199.15,127.8,188.37,181.46,79.32,189.55,179.99,115.82,154.8,186.03,175.65
170.02,134.76,179.51,187.05,159.77,110.69,97.883,91.726,172.04,142.67,181.4,183.49,157.71,102.44,194.58,112.83,112.68,190.87,138.07,122.94,116.88,167.53,172.98,183.25,187.79,191.84,149.93,181.67,199.14,146.25,180.37,192.31,155.36,196.65,199.78,154.15,124.41,156.58,141.58,76.848,172.32,135.43,181.19,160.92,153.98,190.05,159.84,163.62,124.94,139.36,182.96,144.98,143.16,178.68,177.01,197.42,184.39,154.16,196.33,172.72,185.12,83.331,160.5,197.58,160.95,195.63,154.54,189.22,173.21,164.84,186.33,136.37,174.37,158.72,187.26
192.37,137.97,180.72,197.37,176.11,198.64,147.94,196,153.52,128.1,180.41,193.11,197.66,183.57,135.41,163.6,137.33,175.99,150.38,194.05,154.1,182.75,186.02,177.61,196.81,176,187.6,184.96,124.78,152.24,195.56,185.02,184.49,146.22,193.62,160.42,162.22,167.42,195.19,141.49,187.81,141.54,161.19,141.45,168.91,197.29,130.26,177.55,114.91,180.66,173.92,117.06,137.11,198.65,173.68,126.21,107.92,198.25,197.55,170.48,160.88,136.44,162.47,195.96,187.41,169.38,185.44,197.88,169.99,153.14,188.81,156.16,149.89,143.01,196.08
