13183,5177.3,4940.7,4602.4,13034,3814.4,5989,5008.4,4631.5,1668.5,2420.8,3424.2,10749,3462.1,2942.7,4081.8
12131,5020.2,4259.8,4381.7,11293,3927.1,5800.8,4973.7,4355.1,1740.6,2314.5,3334.2,8656.7,3477.4,3320.6,4094.4
13077,4272.8,4014.3,4023.4,11360,3570.6,5690.5,4579.1,4552.9,1538.2,2090.6,2956,7815.5,3217.4,3043.2,3921.9
11240,3663.5,3677.5,3756.5,10051,3112.6,5269.5,4286.1,4046.5,1371.4,1847.5,2730.1,7013.6,2911.9,2782.4,3651.1
10740,4033.2,3849.2,3681,9536.6,3175,5390.8,4119.3,3712.1,1430.8,1871.6,2654.8,6814.4,2749.3,2698.7,3578.6
10811,4371,4286,3930.3,9699.7,3002.9,5281.6,4452.6,3912.7,1374.3,1958.6,2697.1,8714.9,2926.5,2460.3,3346.6
8170.5,5618.8,5859.3,5768.2,6645.6,4957,11553,9506.7,4514.1,2578.8,3402.5,5046.7,7056.3,4376.6,5788.6,9049.4
4983.7,4338.2,4644.7,4415.4,4417.6,5238.9,11621,9253.2,2713.9,2368.3,3009.2,4133,4643.4,3334.1,6319.8,8461.6
4139.8,4314,3941.9,3997.2,3897.7,3752.3,9097.4,4867.3,2819.3,2311.5,2891.1,3803.8,3423.3,2617.2,4299.4,7000.2
9647.3,5454.9,6310.4,6531.1,9530.5,5061.6,10200,7700.5,8179,3099.9,3872.9,5837.8,8736.9,4573.3,5527.2,8092
8993.7,4896.1,5321.3,5526.4,7103.5,4526.7,10174,6187.6,5002.6,2901.5,3399.2,4663.4,6417.3,4194.8,5057.2,7396.3
8127.9,5789.8,7071.6,6544.4,11582,7648.6,7733.1,8085.9,5222.7,2844.7,4194.4,6406.3,9765.6,4537.6,4430.6,8469.7
4654.3,5092,4772.2,3718.9,5142.8,4031.2,9955,7150.2,3008.3,2842.3,3499.2,3643.1,3731.3,3165.1,5346.5,9778.9
4597.1,5366.4,4978.6,4033.2,4796.3,4405.9,9947.7,6473.4,3156.6,2884.5,3370.9,3669.3,4152.8,3181.9,5460.3,10351
6083,5610.2,5782.2,4520,5999.2,4956.1,11632,6356.9,3933.2,3498.4,3858.6,4143.4,4742.9,3757.6,5925.7,9022.6
6400.2,6145,6260.6,4869.8,6026.1,5207.2,12160,7023.6,4357,3757.1,4291.8,4557,5123.1,4244.1,6340.7,9422.6
