23141,26032,34122,8884.6,5854.5,3802.7,3133,2399,18452,14174,13254,32462,18724,17535,4610.1,2403.6,3654.7,5000,9464.2,19429,6578,7565.9,2704.6,2049.7
30167,33772,36573,13063,11017,8783.2,8247.8,7743.5,27114,20995,17757,33636,21194,19856,9281.6,7507.6,8688.5,9794.4,13899,22010,11428,11950,7688.6,7798.1
27963,32862,34777,11677,9386.6,7267.3,6841.2,6241.7,23247,20016,16255,31023,19421,19303,8120,6463.8,7576.2,8376.5,12299,20605,9855.1,11097,6459.9,6096.3
14912,23700,29689,9373.6,7497.3,5490.5,4708.5,4107.8,8773.6,13405,13112,23363,14442,14613,5884.2,4069.5,6194.2,7518.9,9836.3,16509,7394.1,7771.2,4335.5,3807.9
39720,42023,43780,36415,34329,32259,31329,30860,37211,39533,39185,49817,42437,41122,32074,30903,33104,34033,36993,43148,34644,34629,30387,29889
16714,17127,22202,12017,9316.5,7025.2,6468.3,5786.1,11863,13464,14909,31604,21201,21090,7829.3,5705.1,7301.3,8890.4,13092,20671,10042,10884,6031.5,5532.6
31749,36722,40303,16817,14903,12796,11942,11306,26304,22729,20982,32276,23602,24669,13080,11420,13403,15082,17932,24168,14901,15541,11317,11024
38807,39937,42984,24041,22197,19749,19515,19378,28678,28754,29204,45799,33049,32379,20520,19045,20743,21400,26361,33403,23200,24068,18917,19054
23764,25812,34748,9849.8,6879.2,4906.8,4006.6,3127.4,18029,14612,13815,34174,19931,18138,5429.2,3169.1,4447.9,5844,10259,20959,7730,8513.4,3474.3,2777.6
30407,34184,36589,13451,11287,9176.3,8660.3,8190.8,26766,21344,18236,33370,21394,20276,9671.7,7974.8,9171.6,10249,14309,21881,11715,12308,8153.3,8276.9
27713,31956,35985,11856,9360.8,7172.4,6823.3,6131.5,25743,19625,16420,32984,20169,19623,8100.8,6361.6,7366.3,8175.9,12554,21463,10060,11225,6374.9,5967.8
19306,29442,30753,8344.9,6561.4,4554.8,3827.7,3229,9805,14472,12762,24011,14191,14298,4999.1,3188.8,5163.4,6304.9,8880.4,16255,6441.9,6977.1,3418.7,2904.8
31561,35652,41336,10847,9703.7,7528.7,6699.3,6096.3,11604,13423,17608,30120,22469,18811,8059.8,6188.1,6960.8,8153.8,22791,25836,11532,11375,6483.2,5771.2
28570,33897,31132,6002.8,5236.6,3544.6,2911.1,2108.5,7208,8724.7,13737,24114,16878,14715,3916.4,2108.6,2926.4,3991.4,18727,19633,7381.9,6910.9,2575.7,2303.4
27249,32149,37505,8081.4,6362.5,4570,3939.7,2873.8,8084.9,9868.7,15870,27500,17754,14664,4976.3,2777.8,4030.1,5384.2,21574,24550,9039.8,8209.7,3346,2541.6
46366,51506,57555,28098,25900,23587,22592,21901,26788,29136,33689,46059,38258,34898,24028,21355,22509,24171,41242,44064,27428,27209,22024,20407
31936,37325,42511,12498,11888,9189.3,8199,7619.1,13127,15572,18622,29924,24789,21823,9455.9,7504.8,8354.5,9486,23665,26639,13096,12547,8092.2,7299.8
31844,34974,40601,9680.2,8794.2,6621.9,5489.1,4614.4,10095,12158,17130,28093,20966,19135,6574.3,4455.2,5707.6,7121.6,23454,25561,10442,9733.6,5089.3,4211.4
1.1082e+05,1.8103e+05,1.7149e+05,89786,92680,93361,88629,91717,47143,79860,5.8542e+05,37535,23637,3.4349e+05,1.6871e+05,37234,1.1272e+05,34442,93192,1.1356e+05,86369,1.0135e+05,1.0793e+05,87563
53520,1.0605e+05,1.6047e+05,1.4281e+05,34981,34942,34699,34513,1.4519e+05,1.4137e+05,36228,87759,1.4985e+05,50339,31671,50012,33392,45743,35058,35130,43004,35778,31507,34067
2.1716e+05,2.2016e+05,1.917e+05,2.4308e+05,1.8617e+05,1.8343e+05,1.7853e+05,1.814e+05,2.4381e+05,45105,5.9081e+05,2.1297e+05,2.2527e+05,1.2603e+05,1.8737e+05,2.0754e+05,1.8606e+05,2.3106e+05,1.5722e+05,1.6647e+05,1.936e+05,1.5861e+05,1.7876e+05,1.7332e+05
42680,47340,50701,27498,26471,25256,23685,23873,31958,1.0137e+05,1.546e+05,38047,35426,26571,45640,30797,18387,41871,26607,31059,31486,24628,25088,23411
48807,52303,57456,34962,30284,31733,30959,29963,6.8572e+05,3.703e+05,35315,40624,38633,53928,25108,27310,43707,28433,40413,28422,29083,38044,25756,32169
32542,37385,38171,16413,14731,13663,12944,12560,24737,20895,19255,23738,21645,22142,13514,12723,81829,17742,20176,40854,17430,16165,13048,14703
36381,43351,41476,18620,18092,16022,15295,14467,18274,19689,23798,32977,28630,25612,16008,14683,15269,16329,28655,31581,19364,18993,14771,13867
1.692e+05,1.7724e+05,1.8845e+05,1.5001e+05,1.5022e+05,1.4437e+05,1.4219e+05,1.4167e+05,1.5092e+05,1.4776e+05,1.5239e+05,1.6047e+05,1.5972e+05,1.5284e+05,1.4305e+05,1.4144e+05,1.452e+05,1.4297e+05,1.5545e+05,1.6271e+05,1.4595e+05,1.463e+05,1.4135e+05,1.3939e+05
69620,70532,75760,46807,45567,42563,41382,41208,46590,45906,51653,59060,56093,51611,42328,40531,41967,42878,55841,60169,46748,46177,41526,40183
24926,31363,33311,6793.2,5578.1,3557.1,3034.8,2110.3,6284.6,8232.6,13707,23896,15779,12338,3958,2022.2,3174.8,4455.5,18369,20562,7549.4,6843.6,2408.1,1758.9
42531,47260,56105,23645,20590,18707,18134,17123,21876,24655,29344,44155,34049,29861,19487,17216,17765,19568,34995,41823,22982,22648,17506,16591
27252,32183,37970,6670.8,5339.4,3225.4,2420.5,1614.2,6799.6,8995.6,13174,26285,17779,14128,3650.7,1641.9,2649.1,3881.2,18176,22473,7418.6,6950.8,2082.1,1434.1
28336,35274,37151,6921.6,4789.8,3277.9,2004.1,1340.1,11504,12755,13789,22825,19201,18077,3497.4,1349.4,2885.1,4381.6,17761,21142,6632.5,6664.7,1853.1,1134.6
28548,35930,37110,7749.4,5950.2,4217.5,2858.2,2185.9,12213,13592,14026,22750,18437,18231,4224.6,2113.8,3773.5,5315.3,18456,21519,7205,6964.6,2617.8,1912.3
33064,40816,43196,12122,10528,8662.5,7113.6,6367.9,16065,17440,19084,29514,25465,25097,8829.5,6391.8,7799.4,9356.9,23725,28366,12113,12388,6897.7,5901.5
27997,35989,37795,6949.3,5195.2,3510.1,2179.8,1385.8,11535,12426,14571,23988,19616,19970,3789.3,1386.1,2801.4,4358.9,19564,22554,6853.3,6837.9,1925.5,1133.5
32081,38218,42370,11000,9271.7,7577.6,6296.9,5527.8,13595,15121,18754,28773,23185,21658,8120.2,5820,7490.5,9105.7,25654,28855,12158,11733,6482.4,5341.3
27791,34556,38008,6624,4794.8,3479.4,2195.9,1322.5,10120,11677,14522,24764,19112,18205,3756.2,1278.9,2686.1,4158,19610,21958,7053.8,7039.6,1876.6,1044
40337,44327,42265,17955,16848,15589,14708,14058,19742,21537,25764,35162,29843,28555,16198,14114,15285,16429,31657,32387,19415,19440,14545,13646
28258,32714,29594,6866.9,6040.6,4416.8,3706.5,3097.3,7630.3,9589.1,14174,22540,16997,14800,4789.3,3116.7,3834.5,4927,18897,20194,8316,7900,3443.7,2965.7
34397,41411,36544,12937,11425,10445,9817.7,8965.8,14702,16340,20470,28677,23864,22195,10768,8741.3,9935.5,11351,26388,27231,15054,14355,9555.3,8660.7
43766,48260,47400,22145,20851,18109,17312,16499,22379,24062,28975,39489,34510,31824,18746,16384,17461,18622,35550,36345,22341,22367,17010,15578
32795,36111,37274,7923.6,6738.5,4947.5,3770.5,2983.6,10229,11571,15062,26403,20811,18935,5285.3,2998.9,4158.4,5391,20220,23185,8386.8,8828.7,3553.4,2669.2
2.2884e+05,2.3656e+05,2.4942e+05,2.0457e+05,2.1002e+05,1.9399e+05,1.8964e+05,1.8934e+05,2.0703e+05,1.9868e+05,2.0293e+05,2.0981e+05,2.1202e+05,2.0197e+05,1.9107e+05,1.8266e+05,1.894e+05,1.9199e+05,2.0406e+05,2.2405e+05,1.9366e+05,1.962e+05,1.8775e+05,1.7783e+05
