6.0909e+06,6.0418e+06,6.0563e+06,6.0494e+06,6.0483e+06,6.042e+06,6.0346e+06,6.0067e+06,6.014e+06,6.0165e+06,6.0189e+06,6.0298e+06,6.0142e+06,6.0297e+06,6.0098e+06
6.0418e+06,6.1676e+06,6.0966e+06,6.1498e+06,6.1413e+06,6.1036e+06,6.075e+06,6.0273e+06,6.0566e+06,6.0644e+06,6.0877e+06,6.1118e+06,6.0742e+06,6.1113e+06,6.0301e+06
6.0563e+06,6.0966e+06,6.1525e+06,6.1129e+06,6.1168e+06,6.0961e+06,6.086e+06,6.0242e+06,6.0427e+06,6.0411e+06,6.0304e+06,6.0555e+06,6.0318e+06,6.0545e+06,6.0319e+06
6.0494e+06,6.1498e+06,6.1129e+06,6.5474e+06,6.3416e+06,6.2653e+06,6.1526e+06,6.0629e+06,6.0997e+06,6.1168e+06,6.1835e+06,6.2061e+06,6.1607e+06,6.1975e+06,6.0836e+06
6.0483e+06,6.1413e+06,6.1168e+06,6.3416e+06,6.3954e+06,6.2588e+06,6.1561e+06,6.0414e+06,6.0949e+06,6.1016e+06,6.166e+06,6.2153e+06,6.162e+06,6.2049e+06,6.078e+06
6.042e+06,6.1036e+06,6.0961e+06,6.2653e+06,6.2588e+06,6.4296e+06,6.2164e+06,6.0316e+06,6.0638e+06,6.0938e+06,6.1046e+06,6.1266e+06,6.0906e+06,6.1349e+06,6.0568e+06
6.0346e+06,6.075e+06,6.086e+06,6.1526e+06,6.1561e+06,6.2164e+06,6.3437e+06,6.0095e+06,6.0225e+06,6.0461e+06,6.049e+06,6.0544e+06,6.0268e+06,6.0208e+06,6.0395e+06
6.0067e+06,6.0273e+06,6.0242e+06,6.0629e+06,6.0414e+06,6.0316e+06,6.0095e+06,6.1103e+06,6.0262e+06,6.0159e+06,6.0626e+06,6.0636e+06,6.0481e+06,6.0633e+06,6.0396e+06
6.014e+06,6.0566e+06,6.0427e+06,6.0997e+06,6.0949e+06,6.0638e+06,6.0225e+06,6.0262e+06,6.1089e+06,6.1157e+06,6.0898e+06,6.1764e+06,6.1099e+06,6.1706e+06,6.0276e+06
6.0165e+06,6.0644e+06,6.0411e+06,6.1168e+06,6.1016e+06,6.0938e+06,6.0461e+06,6.0159e+06,6.1157e+06,6.3192e+06,6.1267e+06,6.2179e+06,6.1494e+06,6.1994e+06,5.9702e+06
6.0189e+06,6.0877e+06,6.0304e+06,6.1835e+06,6.166e+06,6.1046e+06,6.049e+06,6.0626e+06,6.0898e+06,6.1267e+06,6.3163e+06,6.2352e+06,6.1966e+06,6.2096e+06,6.0437e+06
6.0298e+06,6.1118e+06,6.0555e+06,6.2061e+06,6.2153e+06,6.1266e+06,6.0544e+06,6.0636e+06,6.1764e+06,6.2179e+06,6.2352e+06,6.5237e+06,6.3592e+06,6.4323e+06,6.0122e+06
6.0142e+06,6.0742e+06,6.0318e+06,6.1607e+06,6.162e+06,6.0906e+06,6.0268e+06,6.0481e+06,6.1099e+06,6.1494e+06,6.1966e+06,6.3592e+06,6.4365e+06,6.4193e+06,6.0148e+06
6.0297e+06,6.1113e+06,6.0545e+06,6.1975e+06,6.2049e+06,6.1349e+06,6.0208e+06,6.0633e+06,6.1706e+06,6.1994e+06,6.2096e+06,6.4323e+06,6.4193e+06,6.6925e+06,6.0524e+06
6.0098e+06,6.0301e+06,6.0319e+06,6.0836e+06,6.078e+06,6.0568e+06,6.0395e+06,6.0396e+06,6.0276e+06,5.9702e+06,6.0437e+06,6.0122e+06,6.0148e+06,6.0524e+06,6.1784e+06
