1.2351e+05,1.1858e+05,1.1142e+05,1.0029e+05,99089,98296,98710,98707,1.1178e+05,1.1337e+05,1.0678e+05,1.061e+05,1.03e+05,1.0161e+05,98672,99493,1.0081e+05,99241,1.0271e+05,98833,99988,1.0039e+05,98281,98333
1.1858e+05,1.2881e+05,1.1815e+05,1.0069e+05,1.0005e+05,99426,1.0058e+05,99814,1.0935e+05,1.1338e+05,1.0986e+05,1.1263e+05,1.0903e+05,1.0808e+05,1.0086e+05,1.0105e+05,1.01e+05,99601,1.035e+05,1.0049e+05,1.0267e+05,1.0392e+05,99801,1.0004e+05
1.1142e+05,1.1815e+05,1.2614e+05,1.0027e+05,99060,99033,98994,98441,1.0499e+05,1.0812e+05,1.0758e+05,1.1195e+05,1.0783e+05,1.0643e+05,99722,99524,99010,97932,1.0204e+05,99079,1.0064e+05,1.0197e+05,98435,98226
1.0029e+05,1.0069e+05,1.0027e+05,1.0316e+05,1.0012e+05,98298,98821,98487,99704,1.0111e+05,1.0173e+05,1.0267e+05,1.0031e+05,98699,98226,99346,98694,98277,99858,98872,98455,99148,97720,98137
99089,1.0005e+05,99060,1.0012e+05,1.0191e+05,99331,99766,99041,99449,1.0053e+05,99735,1.0099e+05,1.0104e+05,99614,98717,1.0001e+05,98978,98362,98930,98546,98353,99523,98126,98917
98296,99426,99033,98298,99331,98866,99206,98276,98682,99663,98471,99709,99791,99112,98075,99264,97996,97309,98080,97719,97566,98860,97354,98147
98710,1.0058e+05,98994,98821,99766,99206,1.0141e+05,99539,1.0014e+05,1.0124e+05,1.0007e+05,1.029e+05,1.012e+05,1.0114e+05,99306,1.0095e+05,99146,98025,99707,99625,99085,1.0092e+05,98541,1.0035e+05
98707,99814,98441,98487,99041,98276,99539,98867,99221,1.0018e+05,99117,1.0028e+05,99970,99609,98410,99831,98535,97770,99034,98931,98640,99745,97979,98853
1.1178e+05,1.0935e+05,1.0499e+05,99704,99449,98682,1.0014e+05,99221,1.1222e+05,1.0988e+05,1.0397e+05,1.0477e+05,1.0174e+05,1.0096e+05,98734,1.0038e+05,1.0143e+05,99857,1.0238e+05,99326,99772,1.006e+05,98447,99813
1.1337e+05,1.1338e+05,1.0812e+05,1.0111e+05,1.0053e+05,99663,1.0124e+05,1.0018e+05,1.0988e+05,1.1265e+05,1.0741e+05,1.0803e+05,1.0402e+05,1.0286e+05,99923,1.0146e+05,1.0233e+05,1.0132e+05,1.0408e+05,1.0091e+05,1.0119e+05,1.0209e+05,99499,1.009e+05
