939.15,75.232,-42.952,20.277,39.251,-81.944,-129.05,-17.126,62.416,-88.043,-135.15,-88.954,-139.22,-147.73,-130.72,-87.422
75.232,747.14,90.441,16.922,-19.625,45.004,4.9328,-91.482,-72.835,14.632,-118,-134.71,-161.86,-104.65,-167.04,-179.8
-42.952,90.441,889.21,156.6,-93.238,-84.291,82.002,7.4934,-132.41,-102.7,-81.736,-78.983,-164.44,-185.38,-99.556,-192.45
20.277,16.922,156.6,601.73,-88.672,-97.556,-46.128,135.23,-63.5,-99.026,-60.904,19.256,-113.98,-195.85,-68.878,-59.224
39.251,-19.625,-93.238,-88.672,1531.6,50.275,-42.367,-82.313,-100.8,-144.79,-195.82,-196.23,-102.37,-121.46,-201.29,-191.05
-81.944,45.004,-84.291,-97.556,50.275,1467.6,38.062,-142.15,-132.38,-184.77,-205.81,-215.29,-8.99,-55.318,-217.3,-246.91
-129.05,4.9328,82.002,-46.128,-42.367,38.062,1070.5,109.97,-274.6,-127.49,-76.087,-108.55,-178.43,-86.045,-81.373,-197.78
-17.126,-91.482,7.4934,135.23,-82.313,-142.15,109.97,912.75,-142.14,-135.5,-67.758,-31.789,-113.33,-227.3,-38.047,105.6
62.416,-72.835,-132.41,-63.5,-100.8,-132.38,-274.6,-142.14,1487.3,7.1483,-162.05,-123.12,-53.797,-103.65,-65.992,-117.96
-88.043,14.632,-102.7,-99.026,-144.79,-184.77,-127.49,-135.5,7.1483,841.96,114.44,-50.781,20.814,99.635,-71.177,-82.305
-135.15,-118,-81.736,-60.904,-195.82,-205.81,-76.087,-67.758,-162.05,114.44,766.67,170.97,-86.26,-2.3668,77.15,55.992
-88.954,-134.71,-78.983,19.256,-196.23,-215.29,-108.55,-31.789,-123.12,-50.781,170.97,702.96,-113.41,-87.036,103.6,234.55
-139.22,-161.86,-164.44,-113.98,-102.37,-8.99,-178.43,-113.33,-53.797,20.814,-86.26,-113.41,1229.5,119.5,-39.386,-84.432
-147.73,-104.65,-185.38,-195.85,-121.46,-55.318,-86.045,-227.3,-103.65,99.635,-2.3668,-87.036,119.5,1099.1,-20.859,-31.439
-130.72,-167.04,-99.556,-68.878,-201.29,-217.3,-81.373,-38.047,-65.992,-71.177,77.15,103.6,-39.386,-20.859,972.37,54.967
-87.422,-179.8,-192.45,-59.224,-191.05,-246.91,-197.78,105.6,-117.96,-82.305,55.992,234.55,-84.432,-31.439,54.967,1117.8
